Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,16375621,17643080,4588074,1060569,1707410,3103469,729029,2202944,4251586,1267460,831943,308962,126555
1989:Q3,BabyBoom,3987458,5819259,2261008,790286,379142,378316,283735,754596,972175,1831800,1355515,445778,30507
1989:Q3,GenX,77444,130958,44121,45325,3891,545,1257,12083,23736,53514,23697,29467,350
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,16611911,17901717,4654414,1067708,1755184,3153646,753685,2217980,4299100,1289805,848067,315455,126283
1989:Q4,BabyBoom,4113166,5990437,2292050,807710,393008,410709,300078,765360,1021521,1877271,1386785,459552,30934
1989:Q4,GenX,90862,151330,47852,50165,3912,2712,2472,13486,30731,60468,25730,34278,460
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,16658549,17968215,4643331,1091837,1708192,3202156,766569,2227821,4328309,1309665,874638,306334,128693
1990:Q1,BabyBoom,4112047,6024459,2315638,820896,325319,430853,299743,772852,1059158,1912412,1429541,449397,33474
1990:Q1,GenX,96404,164714,53645,54249,0,4932,1029,14732,36127,68309,31221,36588,500
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,16842953,18174547,4697947,1094727,1761985,3250560,782924,2240553,4345851,1331594,897612,305501,128481
1990:Q2,BabyBoom,4185802,6134136,2319419,837644,344453,456643,314640,784232,1077105,1948334,1461865,452534,33935
1990:Q2,GenX,100786,178471,53040,60015,0,7405,1101,16393,40517,77684,36440,40677,567
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,16815763,18160022,4707719,1110474,1610048,3297637,786207,2256410,4391527,1344259,913559,306662,124038
1990:Q3,BabyBoom,4079002,6063322,2377725,842430,150945,473571,296028,799773,1122850,1984320,1493496,459702,31122
1990:Q3,GenX,115014,201789,61751,63250,0,10032,833,18545,47377,86775,40210,45939,626
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,17046355,18400618,4664660,1120136,1728822,3344452,812560,2262931,4467058,1354263,921387,306632,126244
1990:Q4,BabyBoom,4270414,6296505,2395387,851088,243390,494483,316029,808053,1188075,2026091,1526575,465914,33602
1990:Q4,GenX,136137,230585,72224,67818,0,12967,1045,20189,56342,94449,41849,51844,756
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,17288800,18639863,4663475,1124261,1900104,3390675,844558,2254946,4461843,1351063,928955,294592,127516
1991:Q1,BabyBoom,4487071,6532197,2398392,868404,387310,515364,340893,803749,1218085,2045125,1556981,452729,35415
1991:Q1,GenX,157757,257248,77299,75119,0,16207,2093,20700,65829,99490,43755,54886,849
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,17357855,18721759,4686245,1126086,1908427,3436558,861942,2255044,4447457,1363905,947796,289856,126253
1991:Q2,BabyBoom,4494953,6574155,2428045,876940,364389,540217,348382,807798,1208384,2079201,1592503,451482,35216
1991:Q2,GenX,164887,276108,83027,80673,0,19826,1816,22035,68732,111221,50352,59968,901
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,17503256,18880603,4685706,1137254,1999726,3481773,886376,2248295,4441473,1377347,960226,286022,131099
1991:Q3,BabyBoom,4665149,6755597,2481219,881185,429026,564151,368108,805813,1226095,2090448,1599012,451386,40050
1991:Q3,GenX,184191,305528,94966,85036,0,23806,4591,22745,74383,121337,55265,65092,980
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,17766941,19166806,4695883,1136829,2215381,3526461,912709,2234920,4444623,1399865,977569,285460,136836
1991:Q4,BabyBoom,4958829,7089707,2526848,889465,625194,589474,394443,797309,1266974,2130878,1627288,457748,45842
1991:Q4,GenX,222076,358563,106902,91153,16789,28199,9206,22644,83669,136487,63023,72374,1090
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,17777377,19185336,4724966,1130332,2202960,3571676,924731,2225695,4404976,1407959,999206,273796,134957
1992:Q1,BabyBoom,4973322,7098296,2558420,902524,590358,642753,390113,792981,1221146,2124974,1635279,444468,45227
1992:Q1,GenX,219519,369614,115431,99348,10368,33345,6582,22901,81639,150095,73791,75090,1214
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,17827964,19249621,4747959,1128805,2220321,3634443,941624,2220477,4355992,1421657,1014683,268653,138321
1992:Q2,BabyBoom,5037199,7172956,2583888,916284,583635,694454,401088,792998,1200609,2135758,1643718,442857,49183
1992:Q2,GenX,215349,380377,121654,108131,6887,25637,6854,23606,87608,165028,82843,80822,1363
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,17980421,19410597,4747643,1140445,2291676,3697383,963046,2221577,4348827,1430176,1026292,266005,137879
1992:Q3,BabyBoom,5257205,7432593,2677006,918586,638747,746201,421723,800403,1229928,2175388,1678563,446779,50046
1992:Q3,GenX,231293,412954,139339,112693,12154,16895,10373,25262,96237,181661,91024,89149,1488
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,18169301,19599864,4735919,1143952,2475743,3717155,965008,2209573,4352514,1430563,1025336,266783,138444
1992:Q4,BabyBoom,5627833,7848935,2759095,926742,803574,832928,469059,803167,1254370,2221101,1709905,460414,50782
1992:Q4,GenX,273197,478108,157314,122774,33026,22136,14481,23592,104785,204911,105662,97572,1677
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q1,Silent,18283823,19699408,4757367,1118941,2552309,3735594,972910,2217393,4344894,1415584,1016788,255728,143068
1993:Q1,BabyBoom,5805883,8033894,2755516,947817,854371,879813,522415,830619,1243343,2228011,1720887,451897,55227
1993:Q1,GenX,294935,513526,156916,139856,37255,27207,22798,25332,104163,218591,117030,99637,1924
1993:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q2,Silent,18353042,19763823,4762332,1128273,2597965,3753862,973583,2224081,4323727,1410781,1015010,252861,142910
1993:Q2,BabyBoom,5992384,8266238,2847436,957062,874417,926886,558287,857968,1244182,2273854,1759332,458976,55546
1993:Q2,GenX,309597,552544,170510,151111,36480,32696,25527,27002,109217,242947,134004,106825,2118
1993:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q3,Silent,18488264,19897308,4763480,1139689,2692861,3772087,975613,2234758,4318820,1409043,1007467,253262,148314
1993:Q3,BabyBoom,6251444,8587888,2945600,964664,947383,975999,600670,891665,1261907,2336444,1802710,472665,61069
1993:Q3,GenX,340957,608420,186575,161714,44712,38643,29918,29719,117139,267463,148355,116740,2368
1993:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q4,Silent,18660459,20072830,4777361,1144791,2786695,3790233,975573,2241949,4356228,1412371,1001539,258872,151960
1993:Q4,BabyBoom,6490224,8885601,3027771,980695,1020536,1019914,628112,921977,1286595,2395376,1833301,496976,65099
1993:Q4,GenX,365340,663104,201811,176762,53457,44938,31182,31835,123120,297765,164836,130321,2608
1993:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q1,Silent,18723770,20118450,4810593,1132676,2734730,3808576,972997,2255489,4403389,1394679,989469,251993,153217
1994:Q1,BabyBoom,6565679,8991833,3065421,998726,935710,1065483,646662,961698,1318134,2426154,1863320,496014,66820
1994:Q1,GenX,359934,675929,206426,194757,32062,51697,29351,35753,125884,315996,177165,135869,2962
1994:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q2,Silent,18812139,20207739,4834688,1136078,2720935,3827195,976368,2272509,4439965,1395599,985858,254862,154879
1994:Q2,BabyBoom,6675517,9151644,3138681,1013160,882750,1107875,673531,1007001,1328646,2476127,1891929,515181,69017
1994:Q2,GenX,349377,698620,216872,210375,14322,58838,32212,40954,125047,349243,197329,148537,3377
1994:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q3,Silent,18906090,20301214,4811430,1149118,2772263,3846341,982892,2282940,4456231,1395124,981330,259082,154712
1994:Q3,BabyBoom,6910894,9440503,3240145,1023857,906913,1153446,714717,1044080,1357345,2529609,1922515,537643,69451
1994:Q3,GenX,376810,761453,242644,223539,11591,66469,39384,44620,133206,384643,217699,163228,3716
1994:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q4,Silent,18993379,20399653,4776614,1152355,2774901,3866104,978300,2292149,4559230,1406274,977819,267785,160670
1994:Q4,BabyBoom,7029353,9624702,3313807,1034042,867270,1191291,714734,1079728,1423831,2595349,1948688,570554,76107
1994:Q4,GenX,373975,800971,271481,237739,0,74387,31880,48038,137446,426995,239936,182829,4230
1994:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q1,Silent,19130195,20519179,4745532,1156764,2889455,3886840,989504,2296862,4554222,1388984,967084,262478,159422
1995:Q1,BabyBoom,7350281,9968150,3374575,1049131,972316,1243248,768809,1108961,1451110,2617869,1970368,572028,75473
1995:Q1,GenX,436928,886651,294547,254801,9063,82981,44433,49971,150856,449723,254984,190040,4699
1995:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q2,Silent,19264623,20649934,4685605,1169190,3006891,3925561,999641,2303893,4559153,1385311,958709,265397,161205
1995:Q2,BabyBoom,7719666,10397276,3483593,1051160,1082953,1307573,831711,1140822,1499464,2677610,2007820,591795,77995
1995:Q2,GenX,492911,976497,338718,263982,26964,68910,58355,52468,167100,483587,272306,205934,5347
1995:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q3,Silent,19351209,20744602,4543266,1175247,3151635,3966686,1014245,2318193,4575329,1393392,955634,270048,167710
1995:Q3,BabyBoom,7985123,10725177,3483630,1054808,1224250,1366271,897352,1182202,1516663,2740053,2038970,615642,85441
1995:Q3,GenX,550232,1075917,386241,274968,53492,53391,77178,57445,173202,525685,295733,223909,6043
1995:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q4,Silent,19612636,21016718,4558619,1177114,3312724,3998754,1031742,2313068,4624697,1404081,952333,282720,169028
1995:Q4,BabyBoom,8347874,11138992,3532449,1069199,1371444,1411740,951647,1223664,1578849,2791117,2064219,639216,87682
1995:Q4,GenX,599540,1156799,398095,282994,81586,55866,83181,67588,187489,557259,303956,246224,7079
1995:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q1,Silent,19795787,21208617,4612042,1180502,3409805,4032583,1048565,2302713,4622407,1412830,955133,281149,176548
1996:Q1,BabyBoom,8627317,11456284,3569328,1088248,1440172,1450371,1004984,1256043,1647137,2828967,2104891,628849,95227
1996:Q1,GenX,648822,1226320,409144,293694,90615,58201,88350,75798,210519,577498,318835,252209,6454
1996:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q2,Silent,19995403,21425525,4646214,1185501,3516754,4068028,1061593,2297149,4650286,1430122,961904,288490,179728
1996:Q2,BabyBoom,8875126,11745871,3632277,1096142,1518739,1486792,1043691,1293606,1674624,2870746,2131560,639686,99500
1996:Q2,GenX,654254,1268808,422199,297172,102571,60496,85640,85906,214823,614553,338744,268403,7406
1996:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q3,Silent,20104890,21551653,4680421,1192294,3550077,4104928,1077048,2290469,4656417,1446763,969954,295544,181265
1996:Q3,BabyBoom,9061958,11972422,3687235,1109363,1511060,1520121,1088193,1328503,1727948,2910465,2159079,649781,101605
1996:Q3,GenX,654044,1306817,440332,303519,91369,62721,86052,95699,227125,652772,360329,284522,7921
1996:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q4,Silent,20351873,21814545,4712974,1187299,3676662,4143178,1113916,2299823,4680694,1462672,974463,304780,183429
1996:Q4,BabyBoom,9366433,12322035,3707758,1126403,1610822,1534388,1174851,1383311,1784501,2955602,2187576,665014,103012
1996:Q4,GenX,745309,1433503,468254,314227,109518,64455,127931,111827,237291,688194,376591,304084,7519
1996:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q1,Silent,20385735,21853937,4735571,1190296,3727569,4182407,1122333,2315473,4580288,1468202,978246,300399,189557
1997:Q1,BabyBoom,9553308,12516405,3738948,1143300,1622001,1567638,1201316,1444462,1798741,2963097,2203332,648714,111051
1997:Q1,GenX,772795,1478339,488943,323448,102722,66675,114757,130417,251377,705544,391871,305062,8611
1997:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q2,Silent,20855709,22341472,4767889,1193955,4093810,4222384,1153381,2320942,4589111,1485763,984379,305208,196176
1997:Q2,BabyBoom,10229708,13232430,3807411,1148871,1986843,1615834,1350960,1492104,1830407,3002722,2229647,654095,118980
1997:Q2,GenX,950578,1689117,519776,324139,197853,69307,170903,145450,261688,738539,410561,318735,9243
1997:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q3,Silent,21182690,22691081,4780518,1202779,4324581,4262988,1178653,2331830,4609732,1508391,997433,310654,200304
1997:Q3,BabyBoom,10730166,13783374,3875320,1159955,2193446,1657549,1472049,1545969,1879086,3053208,2271259,661385,120564
1997:Q3,GenX,1080988,1863405,557402,327260,248851,71778,215178,162782,280154,782417,440588,333766,8063
1997:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q4,Silent,21409706,22938233,4833096,1197115,4406621,4304041,1185979,2363687,4647694,1528527,1004304,318471,205752
1997:Q4,BabyBoom,11005512,14088509,3913407,1180908,2245303,1680850,1483862,1623726,1960454,3082997,2279589,674065,129343
1997:Q4,GenX,1111373,1934917,583698,339938,256204,73728,196594,187867,296888,823544,462467,351629,9448
1997:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q1,Silent,21957615,23496329,4874039,1202513,4841367,4344803,1214468,2359622,4659517,1538714,1013838,313783,211093
1998:Q1,BabyBoom,11827617,14920517,4003176,1193722,2660339,1756057,1638385,1661147,2007691,3092900,2297910,658850,136140
1998:Q1,GenX,1341159,2192208,622366,343827,369566,77190,264270,200811,314178,851049,489696,351411,9942
1998:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q2,Silent,22218301,23778572,4955956,1206908,4928181,4354470,1220614,2373687,4738755,1560270,1022752,321921,215597
1998:Q2,BabyBoom,12215352,15370972,4123623,1210513,2724651,1845342,1680547,1720135,2066161,3155621,2340743,674115,140763
1998:Q2,GenX,1380338,2278190,658443,350287,382065,90437,252954,220673,323332,897852,516208,371708,9936
1998:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q3,Silent,21905939,23480533,4940239,1230453,4565615,4363898,1209712,2371721,4798895,1574594,1031721,327577,215296
1998:Q3,BabyBoom,12063679,15269560,4293747,1220120,2319980,1909550,1589518,1763268,2173378,3205881,2379720,684483,141678
1998:Q3,GenX,1213353,2157015,735271,346156,249923,103265,148315,235649,338436,943662,544715,388658,10289
1998:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q4,Silent,22470263,24045281,5040439,1214896,5068203,4328908,1230253,2384909,4777673,1575019,1029084,326461,219474
1998:Q4,BabyBoom,13142079,16433281,4363963,1249510,2908791,2065540,1798120,1775645,2271712,3291202,2439308,708812,143082
1998:Q4,GenX,1592832,2590297,788407,369357,434592,106785,282580,233101,375475,997465,580199,405998,11268
1998:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q1,Silent,22403928,23966843,5062264,1214417,5043626,4292830,1229167,2368543,4755996,1562915,1022476,317257,223182
1999:Q1,BabyBoom,13429522,16781560,4471545,1267431,2947503,2196990,1857370,1757228,2283493,3352037,2495046,714919,142072
1999:Q1,GenX,1679322,2711773,855528,379422,450501,109541,308592,219605,388584,1032452,610115,410222,12115
1999:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q2,Silent,22669528,24237048,5159018,1208460,5304472,4256291,1232949,2408063,4667794,1567520,1017692,313358,236470
1999:Q2,BabyBoom,14079921,17528362,4604439,1296434,3264672,2338857,1958211,1803642,2262107,3448441,2560942,734377,153122
1999:Q2,GenX,1851302,2933404,900027,399950,550089,112594,359245,227411,384088,1082102,645057,423846,13199
1999:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q3,Silent,22478241,24046048,5209059,1216392,5059804,4218561,1215749,2481510,4644973,1567807,1018444,311363,238000
1999:Q3,BabyBoom,14210265,17748110,4766736,1321013,3091041,2455293,1915613,1890495,2307919,3537845,2628579,759426,149840
1999:Q3,GenX,1822104,2970666,977375,413297,501741,114789,316953,248724,397786,1148562,694236,441106,13220
1999:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q4,Silent,23164731,24751114,5268576,1208658,5752688,4182214,1229484,2499810,4609684,1586383,1017779,309480,259124
1999:Q4,BabyBoom,15562336,19179886,4878875,1349142,3820373,2630905,2119036,1917061,2464494,3617550,2661259,786018,170273
1999:Q4,GenX,2229466,3446981,1048553,433294,726075,118903,423844,249446,446866,1217515,745225,458124,14166
1999:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q1,Silent,23356797,24949436,5385706,1214590,5947613,4144958,1230398,2485491,4540680,1592639,1014574,300111,277954
2000:Q1,BabyBoom,16269843,19930655,5089845,1380383,4070814,2774902,2213245,1907125,2494341,3660812,2678067,793490,189255
2000:Q1,GenX,2405343,3674105,1115048,452946,806762,121961,466334,237186,473868,1268762,793572,460164,15026
2000:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q2,Silent,23192125,24774859,5506212,1217713,5678591,4107193,1215914,2548288,4500947,1582733,1014374,298688,269671
2000:Q2,BabyBoom,16448585,20182221,5327817,1412626,3877510,2898681,2205289,1986798,2473501,3733636,2735374,823161,175101
2000:Q2,GenX,2388323,3731908,1205550,474369,753309,124300,442592,255957,475831,1343584,848348,479922,15314
2000:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q3,Silent,23203048,24789681,5573083,1226480,5594359,4070384,1207915,2622885,4494576,1586633,1014498,299743,272392
2000:Q3,BabyBoom,16915976,20741587,5570080,1435738,3858912,3034003,2250251,2080665,2511939,3825611,2789904,861304,174403
2000:Q3,GenX,2457595,3884848,1298181,485958,752590,127015,450366,279634,491104,1427253,906044,506026,15183
2000:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q4,Silent,22870839,24436424,5701787,1220784,5019292,4033456,1183787,2655135,4622183,1565585,1008695,301791,255099
2000:Q4,BabyBoom,16826437,20728445,5767536,1469245,3361953,3144913,2178833,2125902,2680063,3902008,2847949,903344,150715
2000:Q4,GenX,2310850,3812340,1364773,511727,603951,128840,385712,286552,530785,1501490,948583,536132,16775
2000:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q1,Silent,22680284,24214367,5942878,1217555,4554903,3998732,1144864,2670129,4685307,1534083,1001930,293567,238586
2001:Q1,BabyBoom,16950523,20892004,6141021,1497055,2966948,3278411,2056810,2150402,2801357,3941481,2898802,914147,128532
2001:Q1,GenX,2226020,3772220,1453836,532138,485622,131471,278276,286305,604572,1546201,988892,542010,15299
2001:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q2,Silent,23021093,24553915,6024221,1215374,4804411,3988635,1148477,2716305,4656491,1532822,1002501,289722,240599
2001:Q2,BabyBoom,17649891,21715253,6364822,1517528,3261467,3404803,2144072,2210101,2812460,4065362,3002308,935669,127385
2001:Q2,GenX,2431424,4050500,1536321,545892,581943,143601,320097,298652,623994,1619076,1045209,558858,15009
2001:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q3,Silent,22473857,24042041,6064587,1216548,4145421,3979605,1106599,2747255,4782026,1568184,1010086,283825,274273
2001:Q3,BabyBoom,17406165,21569317,6603217,1532659,2671173,3505289,2017306,2250311,2989362,4163152,3047106,953851,162195
2001:Q3,GenX,2182678,3901741,1624252,555391,402811,155082,208930,304503,650771,1719063,1131589,570099,17375
2001:Q3,Millennial,10276,25753,11242,6761,267,0,69,812,6602,15477,8771,6576,130
2001:Q4,Silent,22970998,24495932,6163051,1224678,4518973,4016286,1109497,2681614,4781833,1524934,990128,297916,236890
2001:Q4,BabyBoom,18152558,22438832,6773733,1556812,3113229,3591094,2127920,2263363,3012680,4286274,3180500,975797,129977
2001:Q4,GenX,2451721,4211217,1698939,573493,521936,161064,258597,309763,687424,1759496,1136003,608533,14960
2001:Q4,Millennial,20343,35196,14727,9317,1587,0,482,536,8547,14853,5154,9581,118
2002:Q1,Silent,23050582,24573097,6251188,1224336,4506784,4053236,1112287,2651681,4773586,1522515,992992,299057,230466
2002:Q1,BabyBoom,18587859,22907480,6968234,1573760,3181244,3641832,2201349,2316833,3024229,4319621,3224445,962253,132923
2002:Q1,GenX,2552381,4400240,1789286,588018,523540,165851,293793,330478,709274,1847858,1221982,611072,14804
2002:Q1,Millennial,24960,45619,19114,12180,1852,0,967,772,10734,20659,9391,11135,133
2002:Q2,Silent,22823248,24340272,6320983,1227947,4139393,4091326,1074354,2634039,4852230,1517024,999201,306376,211447
2002:Q2,BabyBoom,18425140,22811286,7133587,1593926,2889165,3680844,2106303,2382931,3024530,4386146,3297125,967175,121846
2002:Q2,GenX,2388556,4347734,1904189,605532,404054,170281,198086,356809,708784,1959178,1315094,630628,13456
2002:Q2,Millennial,25378,52612,23871,15584,117,27,0,1355,11658,27233,13619,13466,148
2002:Q3,Silent,22321579,23838428,6350347,1248197,3534220,4130820,1032423,2625721,4916700,1516849,1003093,313721,200035
2002:Q3,BabyBoom,18043841,22541032,7337828,1610437,2343604,3719093,1999247,2458128,3072695,4497191,3407940,970226,119025
2002:Q3,GenX,2168622,4227097,2033956,613970,190614,174755,93818,387507,732477,2058475,1393660,651305,13510
2002:Q3,Millennial,30562,61542,26878,18179,0,152,0,2350,13983,30980,14467,16357,156
2002:Q4,Silent,22565985,24088901,6395669,1262071,3659990,4173347,1032778,2523602,5041444,1522916,1008680,322527,191709
2002:Q4,BabyBoom,18564292,23176560,7542050,1622810,2543413,3785269,2105997,2425504,3151517,4612268,3513615,978459,120194
2002:Q4,GenX,2274679,4442133,2147483,620444,226200,180406,131494,377114,758991,2167454,1478139,676329,12986
2002:Q4,Millennial,32042,67778,30596,20859,0,120,0,359,15844,35736,15879,19693,164
2003:Q1,Silent,22520664,24048848,6496152,1256896,3495475,4213787,1022391,2523326,5040821,1528184,1010850,323725,193609
2003:Q1,BabyBoom,18769364,23474796,7726098,1634343,2442189,3808453,2143899,2508649,3211165,4705432,3608909,963237,133286
2003:Q1,GenX,2288412,4533416,2231300,633297,152495,184373,127044,412357,792550,2245004,1551058,680205,13741
2003:Q1,Millennial,45174,83715,37722,25047,0,406,0,1742,18798,38541,16425,21956,160
2003:Q2,Silent,23042596,24625872,6572600,1263652,3920760,4256155,1043742,2532512,5036451,1583275,1026110,330450,226715
2003:Q2,BabyBoom,19734296,24622910,7923985,1648574,2971705,3853453,2331737,2601287,3292169,4888614,3733965,965838,188811
2003:Q2,GenX,2600443,4983777,2355374,644790,310171,189241,229034,452120,803047,2383334,1668428,700179,14727
2003:Q2,Millennial,52428,98132,43981,29043,0,569,170,3848,20521,45705,19878,25463,364
2003:Q3,Silent,23261626,24849773,6616764,1283253,4058100,4297647,1039874,2531389,5022746,1588147,1042467,337946,207734
2003:Q3,BabyBoom,20311246,25277288,8152280,1663566,3202918,3886138,2403435,2681900,3287051,4966042,3817133,971743,177166
2003:Q3,GenX,2700546,5236840,2494789,651869,359826,193597,247997,487727,801035,2536294,1800950,721242,14102
2003:Q3,Millennial,49987,109372,48046,32155,0,881,478,5880,21932,59385,30383,28744,258
2003:Q4,Silent,23821366,25421017,6684074,1298088,4397372,4339686,1056065,2515639,5130093,1599651,1047883,345718,206050
2003:Q4,BabyBoom,21227083,26316676,8384514,1680605,3658069,3931404,2582242,2746726,3333115,5089593,3933942,978642,177009
2003:Q4,GenX,3014271,5661649,2620273,662739,497636,198453,345243,517463,819842,2647378,1883852,745362,18164
2003:Q4,Millennial,62947,126265,53843,36169,2042,1118,2653,7514,22926,63318,29936,33210,172
2004:Q1,Silent,24752126,26354445,6858785,1311480,4540064,4386896,1049240,2536899,5671080,1602319,1051643,346572,204104
2004:Q1,BabyBoom,22442848,27610019,8751774,1703763,3910017,4050231,2655143,2851926,3687164,5167170,4014011,965690,187469
2004:Q1,GenX,3246306,5981825,2758434,680818,558908,206421,361403,563765,852076,2735519,1968908,748632,17979
2004:Q1,Millennial,79721,149585,64998,41705,4304,529,3119,11476,23454,69864,34127,35579,158
2004:Q2,Silent,24810123,26434645,6943227,1338953,4478732,4423248,1041857,2625700,5582927,1624522,1068665,350630,205227
2004:Q2,BabyBoom,23049160,28335976,9080527,1723484,3948536,4186256,2708609,3029529,3659036,5286817,4120685,963362,202770
2004:Q2,GenX,3355320,6241949,2951845,687871,534063,199812,368145,639067,861147,2886629,2106695,761608,18326
2004:Q2,Millennial,84466,168854,69999,44806,3492,455,3433,19994,26674,84387,45228,38939,220
2004:Q3,Silent,25146004,26772089,7133117,1337810,4412732,4458225,1028599,2714246,5687360,1626085,1078547,358721,188817
2004:Q3,BabyBoom,23744475,29154523,9432756,1738461,3988255,4328515,2751138,3207671,3707727,5410048,4236189,974229,199630
2004:Q3,GenX,3445063,6463639,3123457,700671,505707,192950,360805,714133,865916,3018576,2214754,787740,16082
2004:Q3,Millennial,102365,196732,83745,50918,2360,306,3287,29583,26533,94367,50003,44185,179
2004:Q4,Silent,25645976,27320949,7276931,1347123,4720146,4413684,1052408,2754077,5756580,1674974,1106114,362251,206609
2004:Q4,BabyBoom,25006705,30538358,9758453,1761740,4325407,4522919,2937957,3279459,3952424,5531654,4317632,995675,218347
2004:Q4,GenX,3813187,6997295,3330286,733217,613283,226115,453265,737303,903826,3184107,2356641,810378,17088
2004:Q4,Millennial,124846,237320,101861,56139,6398,0,5767,33715,33439,112473,60191,51815,467
2005:Q1,Silent,25728348,27408816,7419693,1343808,4742822,4361420,1048230,2802255,5690587,1680467,1122288,354998,203181
2005:Q1,BabyBoom,25499381,31165832,10045088,1781656,4354270,4653687,2966959,3363104,4001068,5666451,4471948,986730,207773
2005:Q1,GenX,4039756,7293677,3548444,766918,588529,256939,426877,764592,941379,3253921,2432296,804895,16730
2005:Q1,Millennial,168652,269433,120812,62757,4306,268,4419,38846,38025,100781,42029,58351,401
2005:Q2,Silent,26069122,27783528,7606426,1330937,4862421,4307912,1054954,2900927,5719950,1714406,1149912,354194,210300
2005:Q2,BabyBoom,26338195,32117053,10310712,1805290,4494727,4798945,3068412,3504575,4134393,5778859,4574297,996644,207918
2005:Q2,GenX,4298080,7711627,3772439,809479,610619,288862,453220,814090,962917,3413546,2579519,815594,18433
2005:Q2,Millennial,201157,316482,144719,72653,4361,584,4780,48256,41129,115325,49031,65957,337
2005:Q3,Silent,26315712,28063990,7752059,1328916,5072360,4251836,1067671,3015085,5576063,1748279,1177114,355667,215498
2005:Q3,BabyBoom,27280404,33178469,10659208,1818270,4743474,4940353,3184264,3666898,4166002,5898065,4676695,1014039,207331
