UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2021,999,332099760,164443697,167656063,125400401,126115281,21690455,23413542,2196294,2150796,9844510,10617125,439573,424915,4872464,4934404,129751828,130498817,23921111,25717790,3589125,3600221,11660854,12420947,862688,850089,132550346,136538289,97584084,99025056,20081660,21762431,1193366,1224419,9509981,10284460,316691,310089,3864564,3931834,101034716,102515481,21835032,23583604,2172637,2264745,11048652,11811591,648141,644703,31893351,31117774,27816317,27090225,1608795,1651111,1002928,926377,334529,332665,122882,114826,1007900,1002570,28717112,27983336,2086079,2134186,1416488,1335476,612202,609356,214547,205386
R,7,2021,0,3572166,1827406,1744760,1257112,1195889,300560,291562,33415,32114,105233,99426,6920,6462,124166,119307,1371313,1305600,369338,357802,56579,54443,151050,143281,15438,14566,1335671,1270472,859680,812554,263268,255288,12397,11922,97671,92129,4035,3777,98620,94802,950911,900226,318714,308712,27044,26067,135529,128389,10212,9668,491735,474288,397432,383335,37292,36274,21018,20192,7562,7297,2885,2685,25546,24505,420402,405374,50624,49090,29535,28376,15521,14892,5226,4898
R,7,2021,1,3708865,1896154,1812711,1315420,1255232,300843,291620,35202,33653,113042,106397,7054,6644,124593,119165,1430023,1364829,369934,357839,58292,55814,159067,150250,15582,14732,1400493,1336588,912345,867682,265270,257362,13743,13240,105345,99106,4324,4011,99466,95187,1004333,955691,321205,311004,28485,27410,143575,135563,10587,9958,495661,476123,403075,387550,35573,34258,21459,20413,7697,7291,2730,2633,25127,23978,425690,409138,48729,46835,29807,28404,15492,14687,4995,4774
R,7,2021,2,3771032,1925868,1845164,1338582,1278828,303277,295983,35915,34540,116117,109545,7292,6850,124685,119418,1453198,1388607,372317,362281,59110,56867,162226,153468,15840,14948,1421491,1358181,927745,881675,267408,261212,14309,13834,108129,102014,4454,4205,99446,95241,1019636,969686,323190,314829,29126,28100,146452,138490,10751,10169,504377,486983,410837,397153,35869,34771,21606,20706,7988,7531,2838,2645,25239,24177,433562,418921,49127,47452,29984,28767,15774,14978,5089,4779
R,7,2021,3,3860489,1973502,1886987,1370149,1306946,310107,302374,36576,34620,122343,114680,7364,6992,126963,121375,1486857,1418503,380048,369613,60211,57286,169554,159455,16123,15272,1461634,1393775,951498,903066,274936,268279,14332,13837,114591,107213,4628,4354,101649,97026,1045406,992685,331652,322759,29475,28378,154032,144520,11121,10471,511868,493212,418651,403880,35171,34095,22244,20783,7752,7467,2736,2638,25314,24349,441451,425818,48396,46854,30736,28908,15522,14935,5002,4801
R,7,2021,4,3939654,2015994,1923660,1404791,1336826,310767,302288,35760,34691,129168,120928,7536,7137,127972,121790,1522330,1448749,380289,369190,59820,57751,177501,166099,16536,15548,1494666,1421608,974446,922851,276111,268638,15405,14773,121382,113524,4830,4490,102492,97332,1069006,1012722,332347,322787,30956,29628,161878,151184,11556,10711,521328,502052,430345,413975,34656,33650,20355,19918,7786,7404,2706,2647,25480,24458,453324,436027,47942,46403,28864,28123,15623,14915,4980,4837
R,7,2021,5,4044039,2066737,1977302,1456137,1387233,311538,305464,35400,34041,127057,119774,7409,7110,129196,123680,1574882,1500933,381509,372964,60060,57663,175626,165780,16477,15685,1532084,1463413,1011383,959729,277447,272412,15930,15328,119248,112427,4688,4496,103388,99021,1106857,1051201,334137,327132,31890,30635,159808,150852,11427,10867,534653,513889,444754,427504,34091,33052,19470,18713,7809,7347,2721,2614,25808,24659,468025,449732,47372,45832,28170,27028,15818,14928,5050,4818
R,7,2021,6,4080393,2084271,1996122,1465762,1399480,317529,309710,35152,34151,129607,121957,7349,7123,128872,123701,1584212,1513197,387368,377175,59888,57843,177864,167955,16393,15682,1550445,1480411,1021091,970254,282911,276127,16274,15603,122127,114766,4702,4535,103340,99126,1116505,1061808,339493,330839,32396,30979,162578,153257,11468,10929,533826,515711,444671,429226,34618,33583,18878,18548,7480,7191,2647,2588,25532,24575,467707,451389,47875,46336,27492,26864,15286,14698,4925,4753
R,7,2021,7,4068326,2083191,1985135,1469213,1393762,318085,309134,35401,34142,125898,119140,7048,6788,127546,122169,1586485,1506054,386739,375907,60062,57695,173870,164291,16129,15359,1552081,1476165,1026665,969994,283247,275680,16629,15900,118730,112352,4578,4394,102232,97845,1121122,1060356,338816,329845,32740,31217,158917,150068,11333,10767,531110,508970,442548,423768,34838,33454,18772,18242,7168,6788,2470,2394,25314,24324,465363,445698,47923,46062,27322,26478,14953,14223,4796,4592
R,7,2021,8,4055184,2072371,1982813,1460251,1393167,315953,307761,35065,33875,128083,120800,7067,6753,125952,120457,1575915,1503710,383300,372998,59550,57404,175848,165783,16236,15323,1545158,1474075,1019536,968235,282140,275055,16784,16038,121147,114000,4644,4371,100907,96376,1112620,1057084,336601,327843,32784,31395,161193,151605,11454,10694,527213,508738,440715,424932,33813,32706,18281,17837,6936,6800,2423,2382,25045,24081,463295,446626,46699,45155,26766,26009,14655,14178,4782,4629
