UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2022,999,333065788,163427458,169638330,120820934,123737515,21327265,23366368,3266012,3194219,10144341,11124346,442453,442505,7426453,7773377,127637524,130860023,24154114,26373342,6422175,6601157,12433956,13429062,936516,936662,131657944,137563686,95514073,98115091,19445542,21433492,1137751,1171549,9723794,10696818,328539,328278,5508245,5818458,100575118,103451056,21493416,23633939,3288716,3550594,11545013,12530601,689195,689596,31769514,32074644,25306861,25622424,1881723,1932876,2128261,2022670,420547,427528,113914,114227,1918208,1954919,27062406,27408967,2660698,2739403,3133459,3050563,888943,898461,247321,247066
R,1,2022,0,3661279,1871062,1790217,1224963,1167868,302267,294404,42329,40436,110510,104497,6602,6254,184391,176758,1397703,1333177,391877,381027,93620,89694,175489,166378,17199,16361,1363130,1300350,860160,815675,259071,252361,12436,11824,100776,95277,4397,4182,126290,121031,979100,929521,320113,311604,41667,39709,148499,140690,11049,10373,507932,489867,364803,352193,43196,42043,29893,28612,9734,9220,2205,2072,58101,55727,418603,403656,71764,69423,51953,49985,26990,25688,6150,5988
R,1,2022,1,3628979,1855146,1773833,1209591,1152927,302965,293618,42431,40660,113674,107496,6505,6096,179980,173036,1378215,1314800,390582,378510,92267,88628,177111,168154,16828,15976,1358444,1296280,850291,807601,262318,254279,12976,12502,104406,98406,4532,4241,123921,119251,967004,919793,322339,312727,41556,39863,151208,143173,11040,10332,496702,477553,359300,345326,40647,39339,29455,28158,9268,9090,1973,1855,56059,53785,411211,395007,68243,65783,50711,48765,25903,24981,5788,5644
R,1,2022,2,3743349,1912019,1831330,1264068,1205031,298118,291617,44042,42307,117077,110889,6934,6549,181780,174937,1434329,1368653,386066,376948,94469,90916,181408,172387,17458,16516,1419465,1356705,905330,858952,259701,254489,14687,14198,108114,102170,4829,4666,126804,122230,1024690,973852,320744,314073,44095,42507,156164,148087,11574,10965,492554,474625,358738,346079,38417,37128,29355,28109,8963,8719,2105,1883,54976,52707,409639,394801,65322,62875,50374,48409,25244,24300,5884,5551
R,1,2022,3,3799387,1940188,1859199,1286123,1227943,303899,296236,44988,43783,117851,111959,7081,6730,180246,172548,1454938,1389292,390734,379752,95313,91917,181499,172818,17741,16708,1443899,1380221,923220,877336,265415,259221,15074,14676,108894,103323,4995,4822,126301,120843,1042063,990860,326175,317841,44412,42683,156654,148726,11826,11209,496289,478978,362903,350607,38484,37015,29914,29107,8957,8636,2086,1908,53945,51705,412875,398432,64559,61911,50901,49234,24845,24092,5915,5499
R,1,2022,4,3869987,1978178,1891809,1313946,1252893,309995,300845,46538,44387,121511,115692,7343,6665,178845,171327,1481215,1412944,395440,383665,97331,93008,184579,175577,18104,16700,1473281,1404624,941718,893530,271896,263950,15934,15222,112626,107100,5273,4733,125834,120089,1059926,1006325,331941,322170,45813,43483,160072,151869,12264,11092,504897,487185,372228,359363,38099,36895,30604,29165,8885,8592,2070,1932,53011,51238,421289,406619,63499,61495,51518,49525,24507,23708,5840,5608
R,1,2022,5,3966520,2026467,1940053,1355108,1292096,309432,302050,48856,47008,125830,119636,7379,6976,179862,172287,1523114,1452930,394067,384229,101004,97236,189233,179723,18272,17266,1505926,1438715,970139,921146,270759,264813,16403,15909,116682,110947,5267,4968,126676,120932,1089073,1034639,330324,322720,47065,45366,164444,155872,12294,11567,520541,501338,384969,370950,38673,37237,32453,31099,9148,8689,2112,2008,53186,51355,434041,418291,63743,61509,53939,51870,24789,23851,5978,5699
R,1,2022,6,4006304,2047607,1958697,1375783,1310395,313263,304311,49389,47934,123863,118019,7277,7011,178032,171027,1542187,1470017,396690,385669,102048,98287,186049,177230,18022,17284,1520732,1451837,983908,933394,274729,267175,16611,16147,114827,109362,5192,4973,125465,120786,1101763,1046693,333706,325028,47693,45840,161516,153863,12129,11605,526875,506860,391875,377001,38534,37136,32778,31787,9036,8657,2085,2038,52567,50241,440424,423324,62984,60641,54355,52447,24533,23367,5893,5679
R,1,2022,7,4024592,2056070,1968522,1383325,1317865,313121,304969,49977,48520,127103,120899,7265,7076,175279,169193,1547099,1475746,394694,385065,102619,99399,188166,178856,17727,17071,1532801,1463633,992803,941959,275058,267998,16845,16257,118240,112539,5219,5026,124636,119854,1109823,1054358,333208,325165,48301,46380,164517,156281,12096,11552,523269,504889,390522,375906,38063,36971,33132,32263,8863,8360,2046,2050,50643,49339,437276,421388,61486,59900,54318,53019,23649,22575,5631,5519
R,1,2022,8,3992076,2040537,1951539,1376045,1311157,311239,302540,50622,48423,124021,117883,7318,6919,171292,164617,1536033,1464670,390491,379889,103042,98855,183242,174066,17740,16818,1520135,1449909,986721,936241,273892,266136,16919,16191,115382,109601,5204,4864,122017,116876,1101236,1045795,330599,321599,48377,46289,160301,151972,12039,11315,520402,501630,389324,374916,37347,36404,33703,32232,8639,8282,2114,2055,49275,47741,434797,418875,59892,58290,54665,52566,22941,22094,5701,5503
