UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2025,999,340971336,167340317,173631019,122087603,125046998,21988874,24080876,3544688,3444037,11198954,12215995,472101,473294,8048097,8369819,129486068,132726856,25122747,27383770,6852644,6997818,13724227,14745041,1000380,1000368,132690876,138785571,94697424,97400220,19866778,21918682,1155984,1192732,10731030,11740243,347688,347637,5891972,6186057,100119256,103081423,22093115,24291684,3370756,3633240,12727734,13740678,728415,727773,34649441,34845448,27390179,27646778,2122096,2162194,2388704,2251305,467924,475752,124413,125657,2156125,2183762,29366812,29645433,3029632,3092086,3481888,3364578,996493,1004363,271965,272595
R,1,2025,0,3618993,1851027,1767966,1206231,1150468,293105,283854,46762,44637,114103,106862,6872,6682,183954,175463,1378521,1314540,382506,369824,98206,93782,178810,168177,17475,16753,1307690,1246941,817513,777184,246377,238965,11632,11298,103461,96635,4652,4468,124055,118391,934337,888544,306308,296898,40331,38555,150387,141095,11191,10529,543337,521025,388718,373284,46728,44889,35130,33339,10642,10227,2220,2214,59899,57072,444184,425996,76198,72926,57875,55227,28423,27082,6284,6224
R,1,2025,1,3640402,1861470,1778932,1208624,1153371,295456,285904,48128,45855,118424,111517,6935,6836,183903,175449,1380818,1317376,384715,371750,99455,94910,183317,173027,17539,16916,1308956,1249025,813142,773423,247954,240441,11561,11248,107666,101152,4689,4543,123944,118218,929820,884565,307662,298112,40116,38340,154837,145843,11230,10608,552514,529907,395482,379948,47502,45463,36567,34607,10758,10365,2246,2293,59959,57231,450998,432811,77053,73638,59339,56570,28480,27184,6309,6308
R,1,2025,2,3750098,1914537,1835561,1241825,1187466,306925,297627,48290,46895,123837,117356,7321,7043,186339,179174,1416298,1354946,397325,385207,100084,96824,189739,180371,18027,17308,1356830,1296503,840501,800032,259643,251871,12106,11625,113043,106960,4839,4524,126698,121491,959750,914229,320573,311020,41239,39401,161425,153082,11519,10759,557707,539058,401324,387434,47282,45756,36184,35270,10794,10396,2482,2519,59641,57683,456548,440717,76752,74187,58845,57423,28314,27289,6508,6549
R,1,2025,3,3775677,1928274,1847403,1254380,1197062,309540,301883,45790,43996,124508,118471,6871,6627,187185,179364,1429652,1364718,400340,389508,97741,93847,190764,181666,17604,16871,1388503,1325731,865473,820767,264066,257741,12445,11844,114421,108664,4606,4382,127492,122333,985456,935739,325314,317216,41699,39774,163227,155219,11335,10663,539771,521672,388907,376295,45474,44142,33345,32152,10087,9807,2265,2245,59693,57031,444196,428979,75026,72292,56042,54073,27537,26447,6269,6208
R,1,2025,4,3741157,1911948,1829209,1239883,1181849,309970,300818,45996,44170,126674,120397,6720,6374,182705,175601,1410985,1346057,398786,386802,96481,92793,191326,182166,17173,16386,1382673,1320419,855821,812765,267120,259609,12981,12535,116953,110806,4709,4396,125089,120308,973557,925884,327355,318251,41597,39929,164779,156492,11293,10558,529275,508790,384062,369084,42850,41209,33015,31635,9721,9591,2011,1978,57616,55293,437428,420173,71431,68551,54884,52864,26547,25674,5880,5828
R,1,2025,5,3850747,1965731,1885016,1293780,1234257,304763,298602,47783,45685,128043,122155,7134,6754,184228,177563,1466269,1400269,393816,385111,98803,95014,193433,184699,17776,16852,1441173,1379355,910830,864438,264254,259740,14689,14221,118630,112972,4973,4799,127797,123185,1031055,980174,325482,319502,44120,42559,167555,159714,11788,11163,524558,505661,382950,369819,40509,38862,33094,31464,9413,9183,2161,1955,56431,54378,435214,420095,68334,65609,54683,52455,25878,24985,5988,5689
R,1,2025,6,3902564,1991200,1911364,1315128,1256464,310000,303127,48560,47181,127624,122392,7289,6901,182599,175299,1486084,1420330,397875,387903,99500,96101,192253,184305,18072,17018,1463882,1401773,928614,882787,269536,264274,15077,14690,118324,113315,5144,4938,127187,121769,1048229,997125,330456,323067,44422,42726,166868,159518,12043,11393,527318,509591,386514,373677,40464,38853,33483,32491,9300,9077,2145,1963,55412,53530,437855,423205,67419,64836,55078,53375,25385,24787,6029,5625
R,1,2025,7,3969008,2027380,1941628,1341868,1280128,315888,307631,49938,47599,131049,125474,7532,6826,181105,173970,1511184,1442594,402306,391647,101343,96944,195070,186409,18412,16999,1492806,1425089,947038,898784,275896,268668,15945,15254,121818,116481,5390,4853,126719,121049,1066019,1012421,336109,327068,45845,43548,170029,162076,12447,11279,534574,516539,394830,381344,39992,38963,33993,32345,9231,8993,2142,1973,54386,52921,445165,430173,66197,64579,55498,53396,25041,24333,5965,5720
R,1,2025,8,4060117,2073111,1987006,1381171,1317659,315410,308762,52031,50051,134820,128681,7595,7167,182084,174686,1551188,1480673,401007,392030,104767,100912,199174,189747,18597,17572,1524743,1457719,975119,925842,274898,269337,16416,15961,125351,119626,5390,5114,127569,121839,1094827,1040125,334636,327418,47118,45450,173883,165338,12471,11768,548368,529287,406052,391817,40512,39425,35615,34090,9469,9055,2205,2053,54515,52847,456361,440548,66371,64612,57649,55462,25291,24409,6126,5804
