UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2026,999,342620143,168073860,174546283,121999151,125108526,22185883,24297468,3595670,3504047,11500544,12527192,482661,484561,8309951,8624489,129643649,133027122,25451645,27728375,6962467,7117007,14127603,15153665,1025671,1026159,132754905,138952746,94164534,96945941,19985780,22059454,1164537,1202931,11017269,12035134,355184,355348,6067601,6353938,99752447,102785713,22296411,24513607,3409695,3672609,13090378,14108111,744900,743880,35318955,35593537,27834617,28162585,2200103,2238014,2431133,2301116,483275,492058,127477,129213,2242350,2270551,29891202,30241409,3155234,3214768,3552772,3444398,1037225,1045554,280771,282279
R,7,2026,0,3616204,1849375,1766829,1206191,1150745,292819,283640,46590,44490,113043,105913,6862,6643,183870,175398,1378413,1314752,382197,369606,98017,93638,177694,167165,17456,16715,1307977,1247375,818894,778670,246233,238824,11661,11350,102479,95705,4638,4444,124072,118382,935741,890023,306209,296786,40381,38632,149363,140101,11170,10497,541398,519454,387297,372075,46586,44816,34929,33140,10564,10208,2224,2199,59798,57016,442672,424729,75988,72820,57636,55006,28331,27064,6286,6218
R,7,2026,1,3634066,1858438,1775628,1210313,1154652,293964,284534,47185,45052,115798,108847,6936,6755,184242,175788,1382860,1319002,383463,370620,98651,94241,180697,170360,17557,16856,1312043,1251437,819212,778903,247035,239456,11664,11354,105155,98563,4691,4526,124286,118635,936239,890472,307018,297447,40364,38620,152279,143219,11237,10602,546395,524191,391101,375749,46929,45078,35521,33698,10643,10284,2245,2229,59956,57153,446621,428530,76445,73173,58287,55621,28418,27141,6320,6254
R,7,2026,2,3657781,1869836,1787945,1214015,1159122,296104,286747,48141,46043,120024,113160,6975,6899,184577,175974,1386838,1323629,385692,372822,99647,95225,185170,174892,17617,16994,1315420,1255598,817042,777251,248507,241123,11591,11268,109224,102746,4726,4606,124330,118604,934080,888772,308372,298955,40222,38431,156584,147615,11291,10688,554416,532347,396973,381871,47597,45624,36550,34775,10800,10414,2249,2293,60247,57370,452758,434857,77320,73867,59425,56794,28586,27277,6326,6306
R,7,2026,3,3740487,1910237,1830250,1236667,1181953,305602,295929,49593,48314,124684,118090,7195,7233,186496,178731,1411269,1349002,396049,383293,101483,98208,190669,180911,17937,17492,1346182,1285242,832019,791453,257721,249759,11872,11641,113696,107445,4791,4672,126083,120272,950681,904504,318300,308283,40810,39098,161934,153168,11456,10839,564055,545008,404648,390500,47881,46170,37721,36673,10988,10645,2404,2561,60413,58459,460588,444498,77749,75010,60673,59110,28735,27743,6481,6653
R,7,2026,4,3804782,1941585,1863197,1257663,1203534,312031,304147,47823,45960,128936,122220,7268,6972,187864,180364,1433543,1372116,403174,392236,99948,96122,195475,185774,18048,17283,1382195,1322164,854568,813252,264742,258280,12261,11640,118141,111796,4859,4612,127624,122584,974668,928458,326007,317840,41512,39597,167084,158511,11597,10905,559390,541033,403095,390282,47289,45867,35562,34320,10795,10424,2409,2360,60240,57780,458875,443658,77167,74396,58436,56525,28391,27263,6451,6378
R,7,2026,5,3724020,1903364,1820656,1232940,1173474,309280,300916,45546,44010,126265,120372,6701,6352,182632,175532,1403929,1337538,397848,386678,96151,92802,191015,182219,17181,16372,1371556,1306478,848548,801958,265173,258204,12359,11891,116402,110665,4629,4287,124445,119473,965640,914238,324864,316228,40847,39129,164199,156236,11205,10420,531808,514178,384392,371516,44107,42712,33187,32119,9863,9707,2072,2065,58187,56059,438289,423300,72984,70450,55304,53673,26816,25983,5976,5952
R,7,2026,6,3843932,1962690,1881242,1284850,1226319,306697,299182,47680,45521,130912,125086,6977,6603,185574,178531,1458612,1393260,396780,386513,98828,94854,196775,187964,17596,16737,1431235,1370151,897606,853221,265163,259377,14170,13631,121361,115789,4865,4618,128070,123515,1018110,969318,326699,319470,43486,41803,170448,162771,11630,10950,531455,511091,387244,373098,41534,39805,33510,31890,9551,9297,2112,1985,57504,55016,440502,423942,70081,67043,55342,53051,26327,25193,5966,5787
R,7,2026,7,3897336,1986794,1910542,1308710,1252261,309128,302984,48806,47113,129293,124396,7209,6941,183648,176847,1480651,1417604,397808,388853,99831,96305,194257,186758,17930,17082,1454218,1394766,918432,873690,268282,263755,15134,14671,119846,115165,5045,4977,127479,122508,1038330,988748,329420,323113,44458,42813,168545,161597,11886,11406,532576,515776,390278,378571,40846,39229,33672,32442,9447,9231,2164,1964,56169,54339,442321,428856,68388,65740,55373,53492,25712,25161,6044,5676
R,7,2026,8,3966875,2023867,1943008,1336163,1277083,316301,309366,50051,48161,131467,126212,7466,6836,182419,175350,1506879,1440912,403776,394093,101340,97335,196035,188033,18316,16999,1487722,1423367,941752,894920,275763,269888,15308,14808,122232,117072,5321,4862,127346,121817,1061450,1009300,336551,328582,44950,42878,170829,163377,12323,11297,536145,519641,394411,382163,40538,39478,34743,33353,9235,9140,2145,1974,55073,53533,445429,431612,67225,65511,56390,54457,25206,24656,5993,5702
R,7,2026,9,4021171,2053428,1967743,1360230,1297767,316982,308926,51237,49704,135991,130012,7626,7097,181362,174237,1529565,1460348,402705,392579,103143,99864,200353,190965,18580,17411,1509099,1440002,957661,908316,276385,269113,16169,15599,126519,120918,5420,5051,126945,121005,1076739,1021801,336000,327108,46306,44428,175161,166467,12514,11601,544329,527741,402569,389451,40597,39813,35068,34105,9472,9094,2206,2046,54417,53232,452826,438547,66705,65471,56837,55436,25192,24498,6066,5810
