UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2023,999,336806231,166706095,170100136,126092877,126912511,22129843,23891699,2316830,2262816,10535243,11362302,462478,449119,5168824,5221689,130718418,131561544,24520890,26351523,3758458,3759621,12470456,13281108,903998,892109,133239729,137424346,97057264,98602032,20395769,22118872,1199551,1233281,10176928,11005803,331370,325408,4078847,4138950,100706921,102284707,22262677,24049546,2198910,2293200,11814662,12628590,675439,672209,33466366,32675790,29035613,28310479,1734074,1772827,1117279,1029535,358315,356499,131108,123711,1089977,1082739,30011497,29276837,2258213,2301977,1559548,1466421,655794,652518,228559,219900
R,7,2023,0,3653650,1866311,1787339,1282926,1226175,301058,291802,36632,35515,110929,104316,8042,7665,126724,121866,1399466,1338214,371144,359343,60313,58414,157778,149169,16744,15961,1331528,1271053,852212,810814,259949,251961,12136,11623,102476,96395,4407,4047,100348,96213,945026,899773,316262,306076,27008,25942,141130,133324,10695,10030,534783,516286,430714,415361,41109,39841,24496,23892,8453,7921,3635,3618,26376,25653,454440,438441,54882,53267,33305,32472,16648,15845,6049,5931
R,7,2023,1,3720079,1899313,1820766,1301827,1244964,307234,299064,36490,34915,116813,110097,8066,7679,128883,124047,1420331,1358995,378369,367620,60565,58183,164602,155965,16904,16103,1363134,1303447,870203,828341,265882,259027,12338,11709,108259,102037,4505,4257,101947,98076,964466,918992,322920,313983,27395,26250,147746,139941,10902,10363,536179,517319,431624,416623,41352,40037,24152,23206,8554,8060,3561,3422,26936,25971,455865,440003,55449,53637,33170,31933,16856,16024,6002,5740
R,7,2023,2,3642354,1862524,1779830,1273571,1212120,305498,296607,34914,33668,115599,109678,7168,6732,125774,121025,1389215,1323357,374886,363457,58392,56330,162282,154502,15780,14947,1355003,1290069,863948,816948,267056,259335,12405,11929,107831,102067,4257,3962,99506,95828,955950,905505,322663,312961,27079,26115,146457,139195,10501,9931,507521,489761,409623,395172,38442,37272,22509,21739,7768,7611,2911,2770,26268,25197,433265,417852,52223,50496,31313,30215,15825,15307,5279,5016
R,7,2023,3,3778530,1931132,1847398,1332416,1271830,305884,296718,36779,35263,122617,116018,7238,6855,126198,120714,1448460,1382819,375626,363519,60185,57739,169462,160703,15873,15029,1419146,1355611,916752,872069,269163,261608,13743,13261,114681,108449,4488,4156,100319,96068,1009478,960847,325264,315431,28517,27466,153633,145648,10823,10166,511986,491787,415664,399761,36721,35110,23036,22002,7936,7569,2750,2699,25879,24646,438982,421972,50362,48088,31668,30273,15829,15055,5050,4863
R,7,2023,4,3837784,1959408,1878376,1355815,1295350,308031,301073,37723,36115,124137,117881,7485,7013,126217,120944,1471813,1406500,377726,368002,61241,58784,170983,162537,16112,15206,1438469,1375850,932352,886087,271071,265526,14313,13848,115907,110073,4625,4330,100201,95986,1024898,974741,327001,319302,29160,28142,154873,147172,10976,10354,520939,502526,423463,409263,36960,35547,23410,22267,8230,7808,2860,2683,26016,24958,446915,431759,50725,48700,32081,30642,16110,15365,5136,4852
R,7,2023,5,3924020,2005530,1918490,1387125,1322914,314653,307356,38307,36136,129421,121985,7590,7104,128434,122995,1505156,1435931,385208,375275,62255,59223,177347,167471,16435,15471,1477619,1410096,956135,907389,278506,272428,14334,13841,121456,114274,4806,4447,102382,97717,1050676,997608,335378,327044,29501,28415,161509,152155,11354,10613,527911,508394,430990,415525,36147,34928,23973,22295,7965,7711,2784,2657,26052,25278,454480,438323,49830,48231,32754,30808,15838,15316,5081,4858
R,7,2023,6,4000239,2046447,1953792,1421044,1352311,315118,307018,37345,36142,135798,127689,7774,7269,129368,123363,1539839,1465653,385207,374584,61737,59585,184789,173570,16859,15775,1510020,1436987,979024,926979,279593,272469,15408,14775,127821,120099,4999,4610,103175,98055,1074176,1017476,335975,326777,30990,29653,168876,158358,11778,10886,536427,516805,442020,425332,35525,34549,21937,21367,7977,7590,2775,2659,26193,25308,465663,448177,49232,47807,30747,29932,15913,15212,5081,4889
R,7,2023,7,4101661,2095661,2006000,1471461,1401996,315806,310141,36929,35468,133255,125963,7612,7301,130598,125131,1591468,1517008,386366,378267,61917,59459,182481,172612,16759,15958,1546596,1477587,1015629,963399,280901,276092,15937,15334,125247,118444,4835,4662,104047,99656,1111676,1055423,337731,330948,31925,30667,166360,157396,11620,11081,549065,528413,455832,438597,34905,34049,20992,20134,8008,7519,2777,2639,26551,25475,479792,461585,48635,47319,29992,28792,16121,15216,5139,4877
R,7,2023,8,4135609,2112347,2023262,1480789,1413486,321960,314369,36462,35522,135298,127585,7484,7306,130354,124994,1600573,1528371,392426,382382,61523,59550,184264,174146,16619,15939,1564490,1493663,1025080,973752,286574,279720,16287,15601,127656,120224,4813,4686,104080,99680,1121140,1065786,343314,334553,32439,31002,168716,159173,11640,11124,547857,529599,455709,439734,35386,34649,20175,19921,7642,7361,2671,2620,26274,25314,479433,462585,49112,47829,29084,28548,15548,14973,4979,4815
