UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,999,331578104,162780726,168797378,120941850,123715994,21153062,23158406,3212274,3136500,9875597,10837828,432524,431794,7165419,7516856,127512808,130597666,23847819,26036029,6308340,6482548,12066463,13046377,912068,911648,131753289,137507114,96157456,98654834,19340333,21295949,1129890,1161798,9469441,10424863,321492,320699,5334677,5648971,101054030,103830499,21302072,23412150,3251421,3511637,11217412,12187443,673327,673584,31027437,31290264,24784394,25061160,1812729,1862457,2082384,1974702,406156,412965,111032,111095,1830742,1867885,26458778,26767167,2545747,2623879,3056919,2970911,849051,858934,238741,238064
R,7,2020,0,3691723,1886940,1804783,1244302,1186089,297578,289294,43081,41046,113107,107036,6650,6263,182222,175055,1415035,1349871,386217,375166,93497,89505,177376,168374,17103,16221,1398507,1336313,890148,845895,258843,251960,14172,13607,104127,98350,4620,4406,126597,122095,1009381,960752,320137,311825,43475,41766,151855,144040,11288,10639,488433,468470,354154,340194,38735,37334,28909,27439,8980,8686,2030,1857,55625,52960,405654,389119,66080,63341,50022,47739,25521,24334,5815,5582
R,7,2020,1,3750601,1914701,1835900,1269184,1212245,300311,293015,44142,42749,113688,107987,6934,6645,180442,173259,1438213,1374322,387618,377286,94412,91008,177191,168836,17494,16604,1423796,1362246,910784,866024,262162,256282,15131,14647,104744,99359,4843,4765,126132,121169,1029514,979911,323081,315405,44453,42768,152208,144592,11588,11109,490905,473654,358400,346221,38149,36733,29011,28102,8944,8628,2091,1880,54310,52090,408699,394411,64537,61881,49959,48240,24983,24244,5906,5495
R,7,2020,2,3826776,1954920,1871856,1298043,1238844,307721,299494,45638,43947,117087,111189,7195,6592,179236,171790,1465879,1399419,393834,382638,96142,92201,180219,171534,17880,16565,1458781,1392804,934301,887470,269729,262726,15306,14781,108302,102627,5127,4687,126016,120513,1052842,1000704,330279,321204,44931,42836,155714,147764,12037,11032,496139,479052,363742,351374,37992,36768,30332,29166,8785,8562,2068,1905,53220,51277,413037,398715,63555,61434,51211,49365,24505,23770,5843,5533
R,7,2020,3,3888055,1987303,1900752,1323938,1261671,308372,299436,47145,45740,122222,116216,7336,6858,178290,170831,1490493,1421167,392773,381569,98289,95048,185218,175707,18129,16994,1480880,1411591,950412,901397,270215,262496,16162,15564,113187,107621,5239,4865,125665,119648,1068380,1013704,329599,320245,46277,44364,160690,151968,12242,11323,506423,489161,373526,360274,38157,36940,30983,30176,9035,8595,2097,1993,52625,51183,422113,407463,63174,61324,52012,50684,24528,23739,5887,5671
R,7,2020,4,3976772,2031685,1945087,1366175,1301755,308702,301573,48773,47128,121830,116378,7252,6932,178953,171321,1533411,1461689,392661,382988,101298,97421,184597,175931,18119,17244,1511045,1444862,980107,930143,270568,264987,16441,16160,112783,107745,5183,4942,125963,120885,1098421,1043574,329896,322806,47372,45878,159808,152397,12162,11584,520640,500225,386068,371612,38134,36586,32332,30968,9047,8633,2069,1990,52990,50436,434990,418115,62765,60182,53926,51543,24789,23534,5957,5660
R,7,2020,5,4005096,2046422,1958674,1374696,1311254,313585,304242,49413,47844,124920,118103,7212,6972,176596,170259,1539713,1470151,396296,385172,102082,98482,186275,176662,17739,17012,1525743,1456754,987031,938026,275375,267327,16876,16188,116073,109698,5182,4934,125206,120581,1104595,1051121,334232,325074,48267,46141,162347,153833,12049,11439,520679,501920,387665,373228,38210,36915,32537,31656,8847,8405,2030,2038,51390,49678,435118,419030,62064,60098,53815,52341,23928,22829,5690,5573
R,7,2020,6,3991809,2041033,1950776,1376751,1309892,311191,302437,49572,47551,123141,117323,7274,6960,173104,166613,1538558,1465396,391449,381175,102010,97988,183221,174195,17728,16950,1524053,1452612,990719,938455,273535,265808,16860,16195,114378,109026,5190,4906,123371,118222,1106590,1049376,330962,322253,48330,46202,159948,151861,12060,11447,516980,498164,386032,371437,37656,36629,32712,31356,8763,8297,2084,2054,49733,48391,431968,416020,60487,58922,53680,51786,23273,22334,5668,5503
R,7,2020,7,4001739,2044413,1957326,1378448,1314923,311102,302870,49804,47889,127469,120648,7440,6950,170150,164046,1537189,1467757,389503,379284,102245,98763,186440,176761,17812,16799,1526665,1457797,990038,940568,273839,266730,17109,16320,118945,112353,5283,4914,121451,116912,1103974,1050021,330032,321657,48644,46810,163748,154906,12108,11375,517748,499529,388410,374355,37263,36140,32695,31569,8524,8295,2157,2036,48699,47134,433215,417736,59471,57627,53601,51953,22692,21855,5704,5424
R,7,2020,8,4015045,2052888,1962157,1389865,1323294,313019,303261,51198,49086,124298,118160,7262,6882,167246,161474,1545798,1473740,389688,377761,103877,99936,181563,173039,17489,16687,1530027,1459489,996819,945225,275644,267521,17026,16437,115764,110058,5129,4839,119645,115409,1108944,1053218,330881,321303,48853,47122,159384,151825,11899,11370,522861,502668,393046,378069,37375,35740,34172,32649,8534,8102,2133,2043,47601,46065,436854,420522,58807,56458,55024,52814,22179,21214,5590,5317
