UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2022,999,333076095,164892784,168183311,125495588,126264733,21787430,23522071,2218912,2172882,10001769,10788336,444725,430618,4944360,5004671,129913701,130713295,24057630,25864747,3622937,3633403,11846810,12620312,872278,860185,132651255,136709649,97406203,98892311,20150898,21843059,1194407,1226312,9662006,10450446,319970,313851,3917771,3983670,100906457,102430947,21933230,23692180,2178522,2271480,11224610,12001015,654461,651530,32241529,31473662,28089385,27372422,1636532,1679012,1024505,946570,339763,337890,124755,116767,1026589,1021001,29007244,28282348,2124400,2172567,1444415,1361923,622200,619297,217817,208655
R,1,2022,0,3661333,1871063,1790270,1290675,1230906,303039,294934,34376,32894,107840,101990,7402,6998,127731,122548,1408150,1343590,373737,362912,58221,55832,155009,147092,16170,15327,1361106,1298464,879346,833847,263900,256943,12463,11895,99959,94529,4119,3950,101319,97300,973069,923820,320811,311718,27493,26397,138915,131813,10467,9998,509957,491806,411329,397059,39139,37991,21913,20999,7881,7461,3283,3048,26412,25248,435081,419770,52926,51194,30728,29435,16094,15279,5703,5329
R,1,2022,1,3632486,1857123,1775363,1275159,1216240,304518,294871,34562,33096,111638,105297,6978,6553,124268,119306,1389470,1325978,373414,361116,57644,55322,157508,149224,15481,14651,1357449,1294773,869885,826535,267666,259179,12901,12408,103965,97852,4233,3915,98799,94884,961280,914291,323234,312627,27504,26478,141935,134243,10418,9821,499674,480590,405274,389705,36852,35692,21661,20688,7673,7445,2745,2638,25469,24422,428190,411687,50180,48489,30140,28844,15573,14981,5063,4830
R,1,2022,2,3758565,1920555,1838010,1334336,1273365,301806,294294,35881,34498,116980,110069,7248,6814,124304,118970,1448615,1382723,370456,360195,58972,56741,163124,153976,15784,14886,1419848,1354999,926777,879833,266219,259868,14031,13606,109121,102603,4466,4190,99234,94899,1018482,967503,321728,313133,28775,27806,147532,139131,10764,10148,500707,483011,407559,393532,35587,34426,21850,20892,7859,7466,2782,2624,25070,24071,430133,415220,48728,47062,30197,28935,15592,14845,5020,4738
R,1,2022,3,3816521,1950031,1866490,1353530,1291793,306053,298825,36339,34894,120702,113591,7376,6963,126031,120424,1469376,1402466,375606,365482,59750,57377,167552,158100,16028,15154,1440648,1375141,938680,891101,269996,263905,14170,13754,112696,106013,4557,4302,100549,96066,1031577,979836,326158,317767,29091,28119,151723,143050,10939,10343,509383,491349,414850,400692,36057,34920,22169,21140,8006,7578,2819,2661,25482,24358,437799,422630,49448,47715,30659,29258,15829,15050,5089,4811
R,1,2022,4,3906909,1998858,1908051,1387959,1322090,312051,303390,36616,34481,127005,119117,7471,7068,127756,121905,1505313,1434141,382046,370811,60517,57375,174795,164069,16369,15416,1479926,1408711,961398,911252,277237,269648,14994,14309,119255,111674,4777,4445,102265,97383,1055771,1001195,333911,324231,30354,28986,159245,149128,11403,10605,518932,499340,426561,410838,34814,33742,21622,20172,7750,7443,2694,2623,25491,24522,449542,432946,48135,46580,30163,28389,15550,14941,4966,4811
R,1,2022,5,4020206,2055775,1964431,1439179,1370583,311644,304898,36101,34864,131750,123485,7583,7173,129518,123428,1558193,1484039,381727,372221,60623,58381,180719,169546,16688,15711,1522798,1451930,997799,946353,276857,271196,15787,15145,123895,116050,4854,4536,103606,98650,1093442,1037465,333479,325643,31622,30296,164889,154515,11639,10865,532977,512501,441380,424230,34787,33702,20314,19719,7855,7435,2729,2637,25912,24778,464751,446574,48248,46578,29001,28085,15830,15031,5049,4846
R,1,2022,6,4072852,2081541,1991311,1465505,1396703,316245,308532,35431,34184,127848,120655,7412,7167,129100,124070,1584200,1510765,386134,376322,60185,57868,176257,166736,16462,15773,1542871,1472427,1016903,964967,281815,275026,16107,15381,120094,113288,4679,4523,103273,99242,1112300,1056643,338355,329914,32126,30683,160569,151778,11415,10924,538670,518884,448602,431736,34430,33506,19324,18803,7754,7367,2733,2644,25827,24828,471900,454122,47779,46408,28059,27185,15688,14958,5047,4849
R,1,2022,7,4095664,2092803,2002861,1472950,1403159,317871,310757,35444,34685,130717,123905,7275,7082,128546,123273,1591096,1516462,387168,377856,60188,58452,179133,169711,16354,15668,1558181,1487030,1027632,974013,283096,277098,16333,15824,123353,116837,4704,4575,103063,98683,1122795,1065135,339155,331437,32453,31228,164003,155179,11503,11001,534622,515831,445318,429146,34775,33659,19111,18861,7364,7068,2571,2507,25483,24590,468301,451327,48013,46419,27735,27224,15130,14532,4851,4667
R,1,2022,8,4055260,2075953,1979307,1463560,1390444,317735,308508,35947,34543,125201,118225,6966,6662,126544,120925,1579828,1501496,385742,374463,60587,58032,172798,163011,16075,15172,1544732,1470000,1020636,966087,283355,275434,16750,15952,118199,111518,4551,4309,101241,96700,1114095,1055302,338322,328839,32812,31235,158022,148896,11297,10578,531221,509307,442924,424357,34380,33074,19197,18591,7002,6707,2415,2353,25303,24225,465733,446194,47420,45624,27775,26797,14776,14115,4778,4594
